review_user_id,app_id,app_version,rating,review_text,review_source,language,sentiment,complaint_category,developer_reply,thumbs_up_count,review_date,developer_reply_date,positive_review,negative_review
2117,5,1.8.10,5,Saya pengguna HUAWEI MATE 30 Pro. Sekarang dah tak boleh pakai apps ni sebab ada updating dari app developer. Mohon bantuan.,Google Play,English,Neutral,General,True,0,2026-06-26 11:12:10,2026-06-27 07:28:25,False,False
2118,5,1.9.33,1,tidak mesra pelanggan,Google Play,English,Neutral,General,True,1,2026-06-26 11:11:23,2026-06-27 07:26:58,False,False
2119,5,1.9.51,1,paksa update tapi limitkan android versi..korang nak belanja aku phone baru ke apa??menyusahkan betul,Google Play,English,Neutral,General,True,2,2026-06-26 10:56:01,2026-06-27 07:24:51,False,False
2120,5,1.9.0,1,"why is your app not compatible to my phone? I thought your app is user friendly. you expect me to change to a new phone? is cimb sponsoring s new phone for me? pls don't make life difficult for senior citizens. despite your so called updated apps, still scammers can cheat us. I will shift to other bank.",Google Play,English,Neutral,General,True,1,2026-06-26 10:33:37,2026-06-27 07:23:26,False,False
2121,5,,1,i giving one star because of my phone can't support the new update until it can't open. how to make this easy to people who are dont like to change phone? i usually use it to check my balance or top up my wallet because of the new update i cant open up already the app. it make my life more difficult. please make sure the new update are suitable to everyone.,Google Play,English,Positive,General,True,1,2026-06-26 09:56:01,2026-06-27 07:22:24,True,False
2122,5,1.9.51,5,Tolong bagi support semua jenis Phone.. Cannot download ni.. Aku pakai Huawei,Google Play,English,Neutral,General,True,0,2026-06-26 09:34:58,2026-06-27 07:21:15,False,False
2123,5,1.9.33,1,update telefon baru boleh pakai,Google Play,English,Neutral,General,False,0,2026-06-26 06:16:45,,False,False
2124,5,1.9.33,1,Can't update latest version,Google Play,English,Neutral,General,True,0,2026-06-26 05:42:31,2026-06-27 07:18:57,False,False
2125,5,1.9.51,5,Good financial apps,Google Play,English,Positive,General,True,0,2026-06-26 05:21:10,2026-06-27 07:18:13,True,False
2126,5,,1,This is stupid.. A banking app does doesn't support older mobile OS..,Google Play,English,Neutral,General,True,0,2026-06-26 00:17:44,2026-06-27 07:17:48,False,False
